# 3000 most frequent characters from Wenlin application
#Simplified	Traditional	Pinyin	Meaning
摸		mō	feel, stroke; 摸索 mōsuo grope; 捉摸 zhuōmō fathom  [mó]		
缘	緣	yuán	缘故 cause, reason; 边缘 edge; 绝缘 insulate		
辩	辯	biàn	(辩论 biànlùn) debate, argue; 辩证 diagnosis		
邮	郵	yóu	邮局 yóujú post office; 邮票 yóupiào stamp		
枝		zhī	branch  [qí] (=歧)		
炸		zhà	(爆炸 bàozhà) explode, blow up  [zhá] deep fry		
浓	濃	nóng	dense, thick, concentrated; 浓度 consistency		
昏		hūn	dusk; dark; to faint  [hùn]		
忆	憶	yì	(记忆 jìyì, 回忆 huíyì) remember, recall; memory		
锅	鍋	guō	pot; wok, frying pan; 锅贴 guōtiē pot sticker		
飘	飄	piāo	float in the air, flutter; 飘扬 flutter, wave		
剩		shèng	be left over, remain; (剩余 shèngyú) surplus		
稍		shāo	(稍稍, 稍微) a little, a bit, slightly  [shào] 稍息		
肥		féi	(肥胖) fat; fertile; (肥料) fertilizer; 肥皂 féizào soap  [bǐ]		
洞		dòng	hole, cave  [tóng]		
皆		jiē	all (bookish)		
糊		hú	paste; 糊涂 hútu muddled    [hū] plaster  [hù] paste		
糖		táng	sugar; (糖果 tángguǒ) candy; 糖醋 tángcù sweet & sour		
伴		bàn	accompany; 伙伴, 同伴 companion  [pàn]		
裁		cái	cut cloth or paper; reduce; decide; sanction		
址		zhǐ	地址 dìzhǐ address		
揭		jiē	uncover  [qì] [hé]		
艰	艱	jiān	艰苦 jiānkǔ arduous, 艰难 jiānnán difficult		
捐		juān	contribute; relinquish; tax  [yuán]		
询	詢	xún	询问 xúnwèn ask about, inquire		
丹		dān	cinnabar; red; 丹田 dāntián pubic region		
悉		xī	熟悉 shúxī know well, be familiar with		
津		jīn	(ferry crossing; saliva); 津津有味 with pleasure		
宪	憲	xiàn	宪法 xiànfǎ constitution; 宪兵 military police  [xiòng]		
涌		yǒng	gush; 汹涌 xiōngyǒng turbulent  [chōng]		
恰		qià	(恰当 qiàdàng) appropriate, suitable; 恰好 just right		
竹		zhú	bamboo		
核		hé	pit; nucleus; 核桃 hétao walnut   [hú] 核儿 húr (口) pit  [gāi] [kài]		
挺		tǐng	quite, very; endure, stand; 挺立 stand upright  [tíng]		
径	徑	jìng	path, way; (直径 zhíjìng) diameter; 途径 through		
措		cuò	措施 cuòshī measure, step  [zé] [cì]		
甘		gān	sweet; 甘蔗 gānzhe sugarcane; 甘肃 Gānsù  [hān]		
薄		báo	thin  [bó] slight; 薄弱 weak  [bò] 薄荷 peppermint  [bù]		
粒		lì	grain, granule; 粒子 lìzǐ particle (physics)		
宾	賓	bīn	guest; 宾馆 bīnguǎn hotel		
扫	掃	sǎo	sweep; 打扫 clean up  [sào] 扫帚 broom		
粗		cū	thick, rough, coarse		
符		fú	符合 fúhé conform to; 符号 fúhào mark, symbol		
胞		bāo	细胞 xìbāo cell  [páo] [pào]		
斤		jīn	half a kilogram; 公斤 gōngjīn kilogram		
漫		màn	overflow; 漫长 endless; 浪漫 romantic		
拼		pīn	(拼凑 pīncòu) piece together; 拼音 pīnyīn; 拼写  [bìng]		
诸	諸	zhū	all, various; (surname)		
辑	輯	jí	编辑 biānjí edit; 逻辑 luójí logic		
颗	顆	kē	measure word for small round things: 珠子, etc.		
乏		fá	(缺乏quēfá) lack; 疲乏 pífá tired; 贫乏 pínfá poor		
碰		pèng	bump into; 碰见 happen to meet		
裂		liè	split, crack: 分裂 fission  [liě]		
描		miáo	trace; touch up; 描写 miáoxiě describe  [mào]		
梅		méi	plum, prune; 梅花 plum blossom; 梅林 plum grove		
湿	濕	shī	moist		
昨		zuó	(昨天 zuótiān) yesterday; 昨晚 zuówǎn yesterday evening		
匆		cōng	匆匆 cōngcōng, 匆忙 cōngmáng in a hurry		
灾	災	zāi	(灾难 zāinàn, 灾害 zāihài) disaster		
焦		jiāo	burnt; (焦炭) coke; 焦急 jiāojí anxious; 焦点 focus  [qiáo]		
植		zhí	to plant; 植物 zhíwù plant		
拒		jù	resist; (拒绝 jùjué) refuse  [jǔ]		
犹	猶	yóu	still, yet; 犹豫 yóuyù hesitate; 犹如 yóurú as if  [yòu]		
韩	韓	Hán	(surname); (old name for Korea)		
峰		fēng	mountain peak		
炼	煉	liàn	smelt, refine; temper metal; 锻炼 exercise		
绪	緒	xù	情绪 qíngxù mood, depression; 头绪 lead, clue		
叔		shū	(叔叔 shūshu) uncle		
黎		lí	mulititude; (surname); 黎明 límíng daybreak		
届	屆	jiè	(measure word for regular sessions)		
耐		nài	be able to endure; 有耐心 patient; 不耐烦 impatient  [néng]		
虎		hǔ	(老虎 lǎohǔ) tiger   [hū] 马马虎虎   [hù] 虎不拉		
挤	擠	jǐ	squeeze; crowd; push, jostle; 拥挤 yōngjǐ crowded		
璃		lí	玻璃 bōli glass; 琉璃 liúlí colored glaze		
仰		yǎng	face upward; 信仰 xìnyǎng (religious) faith  [áng]		
液		yè	(液体 yètǐ) liquid  [shì]		
暖		nuǎn	(温暖 wēnnuǎn) warm; 暖和 nuǎnhuo nice and warm  [xuān]		
障		zhàng	障碍 zhàng'ài obstruct; 保障 bǎozhàng ensure  [zhāng]		
贝	貝	bèi	shellfish; cowrie; (money); 贝壳 bèiké shell		
荒		huāng	desolate; wasteland; famine; 荒谬 huāngmiù absurd  [huǎng] [kāng] [huáng]		
鼻		bí	(鼻子 bízi) nose; 鼻孔 bíkǒng nostril		
汤	湯	tāng	hot water, soup  [shāng] 汤汤		
阅	閱	yuè	experience, pass through; review; (阅读 yuèdú) read		
棉		mián	cotton		
酸		suān	sour; acid		
骂	罵	mà	curse; 妈妈骂马吗? Does mama curse the horse?		
壁		bì	wall, cliff; 墙壁 qiángbì wall (la pared)		
剂	劑	jì	dose		
塔		tǎ	pagoda, tower   [dā] 泥圪塔; 树圪塔		
宫	宮	gōng	palace; temple; (surname); 子宫 zǐgōng womb		
侵		qīn	(侵略 qīnlüè, 侵入) invade  [qǐn]		
恢		huī	恢复 huīfù recover, restore		
萨	薩	sà	菩萨 púsà bodhisattva, benevolent being; (surname)		
晓	曉	xiǎo	dawn; (晓得 xiǎode) know		
坡		pō	slope, hillside; 坡度 pōdù slope, gradient		
洁	潔	jié	纯洁 chúnjié pure; 洁白 pure white; 清洁 clean  [jí]		
纵	縱	zòng	longitudinally; 操纵 operate; 纵对 column, file		
冠		guān	hat, crown  [guàn] first place; 冠军 guànjūn champion		
估		gū	估计 gūjì estimate, guess   [gù] 估衣 gùyi		
允		yǔn	允许 yǔnxǔ permit, allow  [yuán]		
融		róng	(融化) melt (ice or snow; cf 熔 róng)		
祝		zhù	express good wishes; 庆祝 qìngzhù celebrate; 祝贺 congrat.  [zhòu] [chù]		
肚		dù	(肚子 dùzi) stomach      [dǔ] tripe		
蒋	蔣	Jiǎng	(surname)		
丢	丟	diū	lose, misplace		
贡	貢	gòng	贡献 gòngxiàn contribute		
振		zhèn	shake, stimulate; 振动 vibration; 振奋 inspire  [zhēn] [zhěn]		
详	詳	xiáng	详细 detailed; 端详 details; 安详 serene		
宿		sù	stay overnight  [xiǔ] 住一宿 stay one night  [xiù] [qī]		
兼		jiān	double; simultaneously: 兼容 compatible		
彼		bǐ	彼此 bǐcǐ each other		
杰	傑	jié	杰出 outstanding; 杰作 masterpiece		
栏	欄	lán	fence, railing		
塑		sù	mould; 塑料 plastic; 塑像 statue		
辈	輩	bèi	generation; 先辈 older generation, ancestors		
肃	肅	sù	严肃 serious, solemn; 肃清 eliminate		
忠		zhōng	faithful		
频	頻	pín	频率 pínlǜ frequency		
励	勵	lì	鼓励 gǔlì, 激励 jīlì encourage; 奖励 reward		
邀		yāo	(邀请 yāoqǐng) invite		
哀		āi	grief; 悲哀 sorrowful; 哀求 entreat		
抢	搶	qiǎng	rob; snatch; scrape     [qiāng] 呼天抢地		
孤		gū	alone; 孤儿 orphan; 孤立 isolated; 孤独 lonely		
驶	駛	shǐ	(驾驶 jiàshǐ) drive		
拨	撥	bō	poke, turn, stir; 拨钟 set a clock; 拨电话 dial a phone		
怒		nù	anger, rage		
森		sēn	森林 sēnlín forest		
陪		péi	(陪同 péitóng) accompany; 陪嫁 péijià dowry		
耀		yào	照耀 zhàoyào shine; 闪耀 shǎnyào dazzle; 炫耀 xuànyào show off		
陷		xiàn	pit, trap; cave in; 陷入 sink/fall into		
郭		guō	outer wall of city; (surname)  [guó]		
邻	鄰	lín	(邻居 línjū) neighbor		
洛		Luò	name of a river in 河南 and 陕西		
井		jǐng	(water) well; ䷯  [jìng]		
惠		huì	恩惠 ēnhuì favor, kindness; 贤惠 xiánhuì virtuous (女)		
迟	遲	chí	tardy; 迟到 arrive late; 迟疑 hesitate; 推迟 put off  [zhì]		
勒		lēi	tie or strap tightly  [lè] 勒索 lèsuǒ  [lei]		
佳		jiā	good, beautiful		
氏		shì	family name, surname; 氏族 shìzú clan  [zhī] 阏氏  [jīng]		
稀		xī	scarce; watery; 稀饭 gruel		
撞		zhuàng	collide, run into		
泡		pào	soak; bubble; 泡菜 pickle; 泡沫 foam   [pāo] spongy  [páo]		
渡		dù	cross (river, etc); 渡船 ferry		
搬		bān	move; 搬家 move house  [sù]		
漂		piāo	float  [piào] 漂亮 beautiful  [piǎo] 漂白 bleach  [biāo]		
腾	騰	téng	jump, gallop; vacate; 沸腾 boiling  [tēng] thump		
暂	暫	zàn	(暂时) temporary		
郑	鄭	zhèng	(surname); 郑重 zhèngzhòng serious, solemn		
抬		tái	lift; carry  [chī]		
饱	飽	bǎo	full (after meal)		
柔		róu	yielding; 柔软 róuruǎn soft; 柔和 róuhe gentle		
滴		dī	drip, drop		
猛		měng	fierce		
杜		dù	(surname); 杜鹃 cuckoo; azalea; 杜绝 stop  [dǔ] [tú]		
阔	闊	kuò	wide; 广阔 vast; 宽阔 broad; 辽阔 extensive		
池		chí	(池塘 chítáng) pool; 游泳池 swimming pool; 电池 battery  [tuó] [chè]
浮		fú	float
寸		cùn	inch  [cǔn]
伏		fú	bend over; subside; 伏天 hot summer days; 起伏 rise & fall  [fù]
澳		ào	bay, inlet (used in place names); 澳门 Aomen; 澳大利亚  [yù]
饮	飲	yǐn	drink    [yìn] give animals water to drink
吨	噸	dūn	ton (from English)  [tún] [tǔn]
慰		wèi	安慰 comfort, console; 慰问 express sympathy for
幻		huàn	unreal, imaginary, magical; 科幻小说 science fiction
幼		yòu	young; children; 幼稚 yòuzhì childish; 幼儿 child  [yào]
递	遞	dì	hand over, pass, give; 递交 present, submit
污		wū	foul; 污染 wūrǎn pollution
爹		diē	dad; 爹爹 diēdie daddy
吓	嚇	xià	frighten, scare  [hè] (恐吓) threaten; (interj.)  [hà]
赤		chì	red; bare; 赤道 chìdào equator; 赤脚 chìjiǎo barefoot
页	頁	yè	page
寂		jì	寂寞 jìmò lonely; 寂静 quiet (place); 沉寂 quiet
祥		xiáng	(吉祥 jíxiáng) auspicious; 慈祥 cíxiáng kindly
纲	綱	gāng	fishing net rope; guiding principle; 纲领 program
肩		jiān	(肩膀 jiānbǎng) shoulder; (肩负 jiānfù) take on  [xián]
驻	駐	zhù	stay, halt; be stationed
晶		jīng	bright; 水晶 crystal; 晶体管 transistor; 晶营 sparkling
聪	聰	cōng	聪明 cōngming clever, intelligent, bright
苍	蒼	cāng	dark green or blue (苍天, 苍松); 苍蝇 fly; 苍白 pale
垂		chuí	hang down, droop; 垂直 chúizhí vertical, perpendicular  [zhuì]
巩	鞏	gǒng	巩固 gǒnggù consolidate
喷	噴	pēn	spurt; spray; 打喷嚏 sneeze   [pèn] in season
偶		ǒu	(偶然 ǒurán) by chance; even number (cf. 奇 jī odd)
宋		Sòng	the Song dynasty (960-1279); 宋体字 Song typeface
屈		qū	bend; submit; injustice; 屈服 yield; 委屈 feel wronged  [jué] [què] [jú]
姻		yīn	marriage; 婚姻 hūnyīn marriage; in-law
摩		mó	按摩 ànmó massage; 摩擦 mócā rub; friction  [mā] 摩挲 māsa gently stroke  [mí]
磁		cí	magnetism; 磁铁 cítiě magnet; 磁带 cídài (magnetic) tape
筹	籌	chóu	chip, counter; prepare, plan
润	潤	rùn	湿润 moist; 利润 profit; 润滑 lubricate
烂	爛	làn	messy; 灿烂 cànlàn splendid  [lān]
骑	騎	qí	ride (horse/bike)   [jì] 乘骑 chéngjì saddle horse; rider
搭		dā	put up; hang over; lift together  [dá] [tà]
狱	獄	yù	lawsuit; (监狱 jiānyù) prison, jail
昌		chāng	prosperous  [chàng]
乌	烏	wū	(乌鸦) crow; (乌黑) black; 乌龟 tortoise  [wù]
泰		tài	䷊ Peace; 泰国 Thailand; 泰山
拔		bá	raise, pull; 提拔 promote; 海拔 elevation  [bō] [bié] [fá] [bèi]
割		gē	cut; 收割 shōugē to harvest
瓜		guā	melon, gourd; 西瓜 watermelon; 傻瓜 idiot; 黄瓜 cucumber
诞	誕	dàn	诞生 dànshēng be born; 圣诞节 Christmas
躲		duǒ	hide (oneself), avoid, dodge
浅	淺	qiǎn	shallow; light
衡		héng	衡量 héngliang weigh, measure, judge
诺	諾	nuò	诺言 nuòyán a promise
钻	鑽	zuān	drill; get into; study  [zuàn] drill (noun)
柴		chái	firewood; 火柴 huǒchái match; 柴油 cháiyóu diesel oil  [cī] [zhài] [zì]
综	綜	zōng	综合 zōnghé synthesize   [zèng] heddle
渔	漁	yú	to fish; 渔民 fisherfolk; 渔业 fishery
玻		bō	玻璃 bōli glass
凝		níng	混凝土 concrete; 凝视 stare; 凝固 solidify
曼		màn	prolonged; graceful
怜	憐	lián	可怜 kělián poor, pitiful  [líng] [lǐng]
朗		lǎng	爽朗 shuǎnglǎng, 明朗 bright & clear; 朗诵 recite
潜	潛	qián	潜水艇 submarine; 潜力 latent ability
扣		kòu	button up; 纽扣儿 niǔkòur button; 扣子 kòuzi knot, button
键	鍵	jiàn	key; 键盘 jiànpán keyboard (piano or typewriter)
储	儲	chǔ	储量 chǔliàng reserves; 存储 cúnchǔ memory
踏		tà	step on; (also used for 蹋 in 糟蹋 zāota 'waste') [tā] (=塌)
勤		qín	(勤劳 qínláo) diligent, hardworking  [qí]
鸟	鳥	niǎo	bird   [diǎo] (=屌)
截		jié	cut, stop; section, length; 半截 half a section
摘		zhāi	pick; take off; select
辞	辭	cí	take leave; diction, poetry, language
愤	憤	fèn	(气愤, 愤怒) angry
裤	褲	kù	(裤子) pants
患		huàn	worry; anxiety; disaster; 患病 fall ill
饰	飾	shì	decoration; dress up; impersonate
臣		chén	subject; (大臣 dàchén) minister
撤		chè	remove; withdraw
欠		qiàn	owe; 哈欠 hāqiàn yawn
敏		mǐn	敏捷 mǐnjié agile; 敏感 sensitive; 敏锐 acute
涂	塗	tú	spread on; 涂料 coating  [tu] 糊涂 hútu muddled  [tū] 糊里八涂  [chú] [yé]
番		fān	(measure word); 番茄 fānqié tomato  [Pān] 番禺  [fán] [bō] [pó] [pán] [pàn] [pí]
赴		fù	go to, attend
罚	罰	fá	(惩罚 chéngfá) punish; (罚款 fákuǎn) fine
陶		táo	pottery; 陶瓷 táocí ceramics  [yáo] [dào]
洪		hóng	(洪水) flood; vast; (surname); 洪亮 magnanimity
涨	漲	zhǎng	rise, go up  [zhàng] swell
爬		pá	crawl; climb  [pā] 矮爬爬
帐	帳	zhàng	curtain; 蚊帐 mosquito net; 帐篷 tent; account
鸣	鳴	míng	cry of birds, animals, insects; ring, sound; express
亏	虧	kuī	lose (money); 吃亏; treat unfairly; 幸亏 fortunately  [yú]
朵		duǒ	朵儿 flower; (量): 一朵花; 一朵云  [duo] 耳朵 ear
牲		shēng	牺牲 xīshēng sacrifice; 牲口 beasts of burden
夹	夾	jiā	press, squeeze; clip  [jiá] lined (clothing)  [gā]
瓦		wǎ	tile; (瓦特 wǎtè) Watt   [wà] to tile a roof  [wā]
疾		jí	(疾病 jíbìng) illness; 疾苦 jíkǔ hardship
盐	鹽	yán	salt
盟		méng	(联盟 liánméng) alliance, pact  [míng] 盟誓  [mèng]
剑	劍	jiàn	sword; 宝剑 bǎojiàn double-edged sword
逢		féng	meet  [péng] [páng]
悟		wù	realize; 觉悟 consciousness; 孙悟空
隆		lóng	隆重 lóngzhòng grand; 隆起 lóngqǐ swell  [lōng]
貌		mào	(面貌) appearance; 礼貌 polite  [mò]
敲		qiāo	knock; strike; 敲门 (door); 敲锣 (gong)
甜		tián	sweet; 甜菜 tiáncài beet
遵		zūn	obey; 遵守 comply with; 遵照 obey, conform to
挣	掙	zhèng	struggle; earn  [zhēng] 挣扎 zhēngzhá struggle
灌		guàn	pour; 灌溉 guàngài irrigate; 灌木 guànmù bush  [huàn]
趋	趨	qū	walk fast, hurry; (趋向) tend, incline to; 趋势 tendency
闷	悶	mēn	stuffy  [mèn] bored, depressed
撒		sā	cast, let go  [sǎ] scatter, sprinkle
郎		láng	新郎 bridegroom; (surname)  [làng] 屎壳郎
赖	賴	lài	rely; hang around; blame falsely; deny error
躺		tǎng	lie down  [tàng]
牵	牽	qiān	lead along (by hand, halter, etc.); 牵牛下地
崇		chóng	worship; high, sublime
棋		qí	board game; 象棋 chess; 围棋 Go; 跳棋 Checkers  [jī]
脉	脈	mài	vein; pulse; 山脉 mountain range  [mò] 脉脉 mòmò lovingly
脏		zāng	(F髒) dirty  [zàng] (F臟) 心脏 heart
仔		zǐ	仔细 zǐxì careful   [zǎi] young animal   [zī] 仔肩
厉	厲	lì	厉害 terrible; formidable  [lài] (name of ancient country)
曰		yuē	say
茫		máng	茫茫 vast, boundless & indistinct  [huǎng]
寿	壽	shòu	longevity; 寿命 shòumìng life-span
誉	譽	yù	praise; 荣誉 róngyù honor; 名誉 míngyù fame
乔	喬	qiáo	(surname); 乔木 qiáomù arbor
泉		quán	spring; (喷泉 pēnquán) fountain; 源泉 yuánquán source
锁	鎖	suǒ	lock
刷		shuā	brush, to brush, to paint, swish    [shuà]
帽		mào	(帽子 màozi) hat
桂		guì	laurel (bay) tree; 桂林 Guìlín
弯	彎	wān	curve, bend
傲		ào	(骄傲 jiāo'ào) proud, arrogant  [áo]
燃		rán	(燃烧 ránshāo) burn; 燃料 ránliào fuel
纠	糾	jiū	纠正 jiūzhèng rectify; 纠缠 jiūchán get entangled
贷	貸	dài	贷款 dàikuǎn lend; loan
绕	繞	rào	wind, coil; move around; 围绕 surround
耗		hào	(消耗,耗费) consume; 耗子 mouse, rat  [máo] [mào]
赢	贏	yíng	win
凶		xiōng	terrible; 凶恶 xiōng'è fiendish; 凶猛 ferocious
串		chuàn	string together; bunch, cluster  [guàn] [quàn]
锐	銳	ruì	尖锐 jiānruì sharp pointed, acute; 锐利 sharp, keen
饿	餓	è	hungry
驾	駕	jià	(驾驶 jiàshǐ) drive, fly, sail; 劳驾 láojià excuse me...
牢		láo	firm, durable; (牢房 láofáng) prison; 牢固 láogù sturdy  [lào] [lóu]
芬		fēn	fragrance; 芬芳 fēnfāng fragrant; 芬兰 Finland
吐		tǔ	spit   [tù] (呕吐 ǒutù) vomit
舅		jiù	舅舅 jiùjiu uncle (mother's brother)
魔		mó	(恶魔 èmó, 魔鬼 móguǐ) demon; 魔术 móshù magic
奉		fèng	accept; offer; 奉命 receive orders; 奉承 flatter
峡	峽	xiá	(峡谷) gorge, canyon; 海峡 strait, channel; 三峡
抛	拋	pāo	throw; 抛弃 abandon; 抛锚 drop anchor; 抛物线 parabola
劫		jié	rob; disaster
羊		yáng	sheep; 山羊 goat; 羊年 Year of the Sheep (8th year)
盒		hé	(盒子 hézi) box  [ān]
沟	溝	gōu	gulley; trench
塘		táng	dike; 池塘, 水塘 pool
窝	窩	wō	nest; 窝棚 wōpeng shack
喂		wèi	hey, hello; (喂养) feed, raise
洒		sǎ	(F灑) sprinkle  [xiǎn] 洒如; (F灑) 洒然  [xǐ] [sěn] [cuǐ] [xùn]
乙		yǐ	2nd Heavenly Stem (天干: 甲乙丙丁戊…)  [yì] [jué]
凯	凱	kǎi	凯歌 kǎigē song of triumph
纹	紋	wén	lines, veins, (wood) grain
惨	慘	cǎn	tragic; savage
熊		xióng	bear; 熊猫 xióngmāo panda
剥	剝	bāo	shell, peel  [bō] 剥削 bōxuē exploitation; ䷖  [pū]
艾		ài	Chinese mugwort; 艾绒 àiróng moxa  [yì] 怨艾 yuànyì resentment
摊	攤	tān	spread out; take a share in; vendor's stall; ...
浩		hào	浩荡 hàodàng vast, mighty; 浩大 hàodà huge  [gǎo] [gé]
眉		méi	eyelash; 眉头 brows; 眉毛 eyebrow; 眉目 looks
疯	瘋	fēng	crazy
辟		bì	monarch; 复辟   [pì] 开辟 open up, start  [mǐ]
沈		Shěn	(surname); (F瀋) 沈阳 Shěnyáng; 墨沈未干  [chén] (=沉)  [tán]
填		tián	fill, stuff; fill in (form)  [tiǎn] [chén] [zhèn]
饼	餅	bǐng	cake; 饼干 cracker, cookie
擦		cā	rub, wipe, scrape
逼		bī	force, compel; close in on
扭		niǔ	twist; turn around; seize; 别扭 bièniu awkward  [niū] 吱扭  [chǒu] [zhǒu] [zhòu]
埋		mái	bury, cover up  [mán] 埋怨 mányuàn blame, complain
轰	轟	hōng	BANG, BOOM! 轰轰烈烈 grand, spectacular
劝	勸	quàn	advise
咬		yǎo	bite; bark; pronounce  [jiāo] [yāo] [jiǎo]
墨		mò	(墨水 mòshuǐ) ink; 墨子 Mòzǐ (a philosopher)  [mèi]
尘	塵	chén	(灰尘 huīchén) dust
唤	喚	huàn	(叫唤) call out
胁	脅	xié	upper part of side of person's body; coerce
鸿	鴻	hóng	(鸿雁 hóngyàn) swan, wild goose; vast
丧	喪	sàng	丧失 forfeit  [sāng] 丧事 funeral arrangements
厘	釐	lí	厘米 límǐ centimeter  [chán]
炒		chǎo	stir fry, saute; 炒饭 fried rice; 炒面 chow mein
瘦		shòu	thin, lean, frail, skinny
悠		yōu	long, drawn-out, leisurely; 悠久 yōujiǔ age-old
掩		yǎn	hide; sneak attack; 掩护 to shield; 掩盖 conceal  [yàn]
债	債	zhài	debt
吵		chǎo	make noise  [chāo] 吵吵 chāochao make noise  [miǎo] [chào]
丑		chǒu	second 地支 Earthly Branch; (F醜) 丑陋 chǒulòu ugly
悬	懸	xuán	hang; unresolved; worry; 悬崖 xuányá cliff
狼		láng	wolf; 狼狈 lángbèi in a difficult position  [lǎng] [làng] [hǎng]
滩	灘	tān	海滩 hǎitān beach
傻		shǎ	stupid, idiotic; 傻子 shǎzi, 傻瓜 shǎguā idiot
愁		chóu	worry  [qiǎo] [jiū]
愉		yú	愉快 yúkuài delighted  [tōu] [yǔ]
紫		zǐ	purple, violet
鸭	鴨	yā	(鸭子 yāzi) duck; 唐老鸭 Donald Duck
氛		fēn	气氛 qìfēn atmosphere
姆		mǔ	nurse; 汤姆 Tāngmǔ Tom
署		shǔ	署名, 签署 sign one's name; 部署 deploy
胶	膠	jiāo	glue; gum; rubber; stick; sticky  [xiáo]
脆		cuì	brittle, crisp; 干脆 simply; 清脆 clear; 脆弱 fragile
臂		bì	(手臂 shǒubì) arm  [bei] 胳臂 gēbei arm
姿		zī	appearance; gesture; (姿势 zīshì, 姿态 zītài) posture  [zì]
扰	擾	rǎo	harass, bother, trouble; 扰乱 disturb  [yòu]
循		xún	follow, abide by; 循环 xúnhuán circulate, cycle
醉		zuì	drunk
谊	誼	yì	友谊 yǒuyì friendship
盼		pàn	(盼望 pànwàng) hope for, look forward to  [fén]
碍	礙	ài	障碍 zhàng'ài get in the way; 妨碍 fáng'ài hinder
册	冊	cè	book; 手册 shǒucè handbook; 地图册 dìtúcè atlas  [zhà]
